名稱,類別,單位價格,熱量(kcal),蛋白(g),碳水化合物(g),維生素A(I.U.),鈣(mg),脂肪(g),膽固醇(mg),鈉(mg),膳食纖維(g),維生素C(mg)
乾麵條,麵,25,352.9601,11.4963,74.5912,0,649.3483,1.3691,0,569.4277,1.8559,0
油麵條,麵,10,359.2127,11.4,76.2505,47.4673,16.434,1.2055,0,712.149,1.1194,0
紅蘿蔔麵,麵,46,347.1368,12.082,73.7599,68.4889,4.88,0.97,0,368.03,2.4804,8.06
通心麵,麵,27,354.8634,13.818,72.5922,0,11.82,1.43,0,25.38,1.8237,5.91
鍋燒意麵,麵,23,472.8864,10,58.5053,0,7.12,22.77,12.27,990.22,3.0324,11.1
雞蛋麵,麵,10,352.2332,12.511,74.8198,0,5.07,0.94,0,466.91,2.775,7.22
刀削麵,麵,15,264.6652,8.353,56.1804,0,1.68,0.94,0,225.69,0.9642,8.67
拉麵,麵,17,289.6736,9.108,62.1292,0,9.28,0.815,0,428.965,1.3051,0
意麵,麵,23,280.5782,10.069,60.1044,0,10.38,0.99,2.82,571.98,4.5127,0
衛生油麵,麵,10,162.0968,5.465,31.1845,3.3333,11.755,1.845,0,66.965,0.5531,0
金門黃麵,麵,18,153.3348,6.411,31.8873,0,6.306,0.5338,0,325.611,2.3313,0
冷凍烏龍麵,麵,20,123.6193,2.972,27.6876,21.6375,1542.974,0.3623,0,864.349,1.1399,0
鍋燒麵,鍋燒,6,118.7086,4.4915,24.5534,0,4.315,0.4,0,41.635,0.5355,5.56
長麵線,麵線,10,306.0046,10.7203,64.339,0,15.0537,1.073,0,2874.319,,0
蚵仔麵線,蚵仔麵線,17,302.8364,11.268,62.3046,0,18.93,1.41,0,2813.42,2.072,0
麵線,麵線,10,344.7299,11.707,72.3655,0,17.363,1.4957,0,751.978,2.5107,0
雞絲麵,雞絲麵,10,460.628,9.4,54.9905,0,13.84,22.83,5.4,2450.125,1.202,0.98
白玉米,玉米,4.2,57.9808,3.4,11.45,24.1657,5,0.64,0,5,3.7,11
紫玉米,玉米,5.5,157.4456,,34.4208,0,5.3667,1.032,0,0.9235,4.9285,4.255
甜玉米,玉米,5.5,96.9226,3.25,17.8305,179.8658,3.2496,2.4772,0,1.8639,4.7079,5.4015
雙色水果玉米,玉米,5.5,96.8607,3.104,17.4564,0,2.598,2.5503,0,0.212,4.0294,5.808
糯玉米,玉米,5.5,164.7881,4.727,33.4494,0,6.035,1.898,0,1.17,3.4869,3.981
秈米粉,米粉,12,362.1597,4.157,83.3658,1.9083,11.7424,0.4215,0,10.438,0.5138,0
糙米粉,米粉,13,385.955,11.3,78.1,,11,3.2,0,6,3.2,
白糯米粉,米粉,14,358.5861,4.505,82.3007,0,17.5715,0.3825,0,15.861,0.6174,0
米粉平均值,米粉,15,364.6094,2.0527,85.3234,0,10.2733,0.8033,0,136.315,0.7891,5.4967
細米粉,米粉,17,353.3738,0.374,87.1643,0,3.06,0.57,0,196.885,0.9547,14.25
濁水米粉,米粉,18,356.7146,5.25,81.08,0,19.13,1.32,0,208.66,0.2427,1.12
米粄條,粄條,25,126.5621,1.05,29.1829,0,11.343,0.9465,0,82.373,1.444,0.029
米苔目,米苔目,20,120.92,0.555,29.635,0,9.535,0.05,0,9.5,0.145,0.8
粿仔條,粄條,29,192.6048,0.511,45.0229,0,19.24,1.24,0,14.65,0.3454,0
免煮飯,小吃,10,167.2307,3.23,37.05,0,3.05,0.34,0,15.94,0.42,0
白飯,小吃,10,181.9696,3.09,41.01,0,1.42,0.25,0,2.03,0.55,0.92
蕎麥麵(濕),蕎麥麵,33,149.6394,6.281,28.5986,0,11.277,1.5162,0,136.343,2.5642,0.044
蕎麥麵(乾),蕎麥麵,33,346.3154,12.6925,70.6336,0.4591,26.502,1.7098,0,733.3965,4.0725,0
菱角(生),菱角,8.2,72.3715,1.9,16.07,0,19,0.33,0,21,1.9,12
菱角(熟),菱角,23.5,139.8269,4.218,30.9853,3.6499,10.83,0.25,0,16.05,3.0271,18.17
菱角仁(生),菱角,15.7,113.4768,4.141,24.0776,0,22.603,0.3171,0,14.651,2.1549,5.471
糖炒栗子,糖炒栗子,30,197.8436,4.15,46.29,70.3639,30.12,0.81,0,1.96,5.67,25.89
木瓜平均值,水果,5.7,35.9575,0.559,9.9063,664.8135,22.5368,0.0736,0,3.3746,1.3746,58.2651
木瓜(11月取樣),水果,5.8,42.4821,0.411,11.7765,390.8744,13.115,0.0505,0,4.8663,1.0731,61.905
木瓜(2月取樣),水果,5.9,28.6362,0.693,7.7301,119.809,15.6386,0.1189,0,2.0296,1.5724,43.832
木瓜(5月取樣),水果,5.1,41.4486,0.675,11.3045,1882.988,39.364,0.104,0,3.6739,1.4913,79.139
木瓜(8月取樣),水果,5.11,31.2629,0.457,8.8139,265.5827,22.0296,0.021,0,2.9287,1.3615,48.1842
青木瓜,水果,3.3,,0.6203,7.1981,8.1647,30.9868,0.0691,0,5.2903,2.4009,25.2713
安石榴,水果,29.6,59.8598,1.7,16.76,13.3328,15,0.14,0,8,4.6,15
百香果,水果,10.5,57.52,2.2,10.7,1616.602,5,2.4,0,2,5.3,32
百香果汁,水果,10.5,72.6329,0.871,18.6121,342.9944,5.0454,0.3592,0,0.9742,0.1898,18.543
金黃奇異果,水果,28.1,56.6646,0.8385,14.97,66.7415,21.6913,0.2661,0,2.0379,1.42,90.1
奇異果,水果,28.1,51.8836,1.1497,13.9607,109.8878,27.6297,0.2582,0,2.9167,2.7494,72.9547
